Date,Time,Defect Rate
8/29/2024,43:00.5,10%
8/29/2024,42:59.6,13%
8/29/2024,42:58.7,15%
8/29/2024,42:57.8,13%
8/29/2024,42:56.9,12%
8/29/2024,42:55.9,10%
8/29/2024,42:55.0,9%
8/29/2024,42:54.1,10%
8/29/2024,42:53.2,15%
8/29/2024,42:52.3,7%
8/29/2024,42:51.4,9%
8/29/2024,42:50.5,11%
8/29/2024,42:49.5,10%
8/29/2024,42:48.6,6%
8/29/2024,42:47.7,11%
8/29/2024,42:46.8,8%
8/29/2024,42:45.9,8%
8/29/2024,42:45.0,15%
8/29/2024,42:44.1,14%
8/29/2024,42:43.2,7%
8/29/2024,42:42.2,12%
8/29/2024,42:41.3,5%
8/29/2024,42:40.5,14%
8/29/2024,42:39.5,10%
8/29/2024,42:38.6,6%
8/29/2024,42:37.7,6%
8/29/2024,42:36.8,13%
8/29/2024,42:35.9,14%
8/29/2024,42:35.0,13%
8/29/2024,42:34.0,12%
8/29/2024,42:33.2,8%
8/29/2024,42:32.2,10%
8/29/2024,42:31.3,7%
8/29/2024,42:30.4,10%
8/29/2024,42:29.5,6%
8/29/2024,42:28.8,10%
8/29/2024,42:27.7,13%
8/29/2024,42:26.8,8%
8/29/2024,42:25.8,14%
8/29/2024,42:24.9,5%
8/29/2024,42:24.0,8%
8/29/2024,42:23.1,8%
8/29/2024,42:22.2,8%
8/29/2024,42:21.3,10%
8/29/2024,42:20.4,13%
8/29/2024,42:19.5,14%
8/29/2024,42:18.6,7%
8/29/2024,42:17.7,6%
8/29/2024,42:16.7,6%
8/29/2024,42:15.8,6%
8/29/2024,42:14.9,10%
8/29/2024,42:14.0,6%
8/29/2024,42:13.1,9%
8/29/2024,42:12.2,9%
8/29/2024,42:11.3,10%
8/29/2024,42:10.3,6%
8/29/2024,42:09.4,7%
8/29/2024,42:08.5,6%
8/29/2024,42:07.6,5%
8/29/2024,42:06.7,11%
8/29/2024,42:05.8,12%
8/29/2024,42:04.9,5%
8/29/2024,42:04.0,13%
8/29/2024,42:03.1,9%
8/29/2024,42:02.1,15%
8/29/2024,42:01.2,9%
8/29/2024,42:00.3,5%
8/29/2024,41:59.4,6%
8/29/2024,41:58.5,5%
8/29/2024,41:57.6,8%
8/29/2024,41:56.7,10%
8/29/2024,41:55.8,11%
8/29/2024,41:54.9,9%
8/29/2024,41:53.9,5%
8/29/2024,41:53.0,5%
8/29/2024,41:52.1,9%
8/29/2024,41:51.2,6%
8/29/2024,41:50.3,9%
8/29/2024,41:49.4,12%
8/29/2024,41:48.5,10%
8/29/2024,41:47.6,8%
8/29/2024,41:46.7,11%
8/29/2024,41:45.7,8%
8/29/2024,41:44.8,12%
8/29/2024,41:43.9,10%
8/29/2024,41:43.0,8%
8/29/2024,41:42.1,14%
8/29/2024,41:41.2,6%
8/29/2024,41:40.3,11%
8/29/2024,41:39.4,13%
8/29/2024,41:38.6,5%
8/29/2024,41:37.5,11%
8/29/2024,41:36.6,8%
8/29/2024,41:35.7,13%
8/29/2024,41:34.8,12%
8/29/2024,41:33.9,9%
8/29/2024,41:33.0,12%
8/29/2024,41:32.1,5%
8/29/2024,41:31.2,12%
8/29/2024,41:30.2,11%
8/29/2024,41:29.3,5%
8/29/2024,41:28.4,9%
8/29/2024,41:27.5,10%
8/29/2024,41:26.6,9%
8/29/2024,41:25.7,10%
8/29/2024,41:24.8,6%
8/29/2024,41:23.9,14%
8/29/2024,41:23.0,13%
8/29/2024,41:22.0,10%
8/29/2024,41:21.1,5%
8/29/2024,41:20.2,11%
8/29/2024,41:19.3,13%
8/29/2024,41:18.4,10%
8/29/2024,41:17.5,7%
8/29/2024,41:16.6,7%
8/29/2024,41:15.7,9%
8/29/2024,41:14.8,14%
8/29/2024,41:13.8,8%
8/29/2024,41:12.9,8%
8/29/2024,41:12.0,7%
8/29/2024,41:11.3,14%
8/29/2024,41:10.2,11%
8/29/2024,41:09.3,13%
8/29/2024,41:08.4,5%
8/29/2024,41:07.5,9%
8/29/2024,41:06.6,7%
8/29/2024,41:05.6,14%
8/29/2024,41:04.7,6%
8/29/2024,41:03.8,5%
8/29/2024,41:02.9,6%
8/29/2024,41:02.0,13%
8/29/2024,41:01.1,8%
8/29/2024,41:00.2,9%
8/29/2024,40:59.3,6%
8/29/2024,40:58.4,6%
8/29/2024,40:57.4,10%
8/29/2024,40:56.5,9%
8/29/2024,40:44.6,12%
8/29/2024,40:43.7,11%
8/29/2024,40:42.8,8%
8/29/2024,40:41.8,14%
8/29/2024,40:40.9,11%
8/29/2024,40:40.0,6%
8/29/2024,40:39.1,13%
8/29/2024,40:38.2,6%
8/29/2024,40:37.5,11%
8/29/2024,40:36.5,10%
8/29/2024,40:35.5,12%
8/29/2024,40:34.6,6%
8/29/2024,40:33.6,6%
8/29/2024,40:32.7,13%
8/29/2024,40:31.8,13%
8/29/2024,40:30.9,6%
8/29/2024,40:30.0,10%
8/29/2024,40:29.1,9%
8/29/2024,40:28.2,14%
8/29/2024,40:27.3,14%
8/29/2024,40:26.3,15%
8/29/2024,40:25.4,6%
8/29/2024,40:24.5,5%
8/29/2024,40:23.6,13%
8/29/2024,40:22.7,10%
8/29/2024,40:21.8,10%
8/29/2024,40:20.9,11%
8/29/2024,40:20.0,7%
8/29/2024,40:19.1,9%
8/29/2024,40:18.2,10%
8/29/2024,40:17.2,11%
8/29/2024,40:16.3,11%
8/29/2024,40:15.4,5%
8/29/2024,40:14.5,7%
8/29/2024,40:13.6,10%
8/29/2024,40:12.7,11%
8/29/2024,40:11.8,15%
8/29/2024,40:10.9,9%
8/29/2024,40:10.0,15%
8/29/2024,40:09.0,10%
8/29/2024,40:08.1,11%
8/29/2024,40:07.2,7%
8/29/2024,40:06.3,11%
8/29/2024,40:05.4,6%
8/29/2024,40:04.5,12%
8/29/2024,40:03.6,8%
8/29/2024,40:02.8,14%
8/29/2024,40:01.7,8%
8/29/2024,40:00.8,5%
8/29/2024,39:59.9,10%
8/29/2024,39:59.0,5%
8/29/2024,39:58.1,13%
8/29/2024,39:57.2,9%
8/29/2024,39:56.3,7%
8/29/2024,39:55.4,5%
8/29/2024,39:54.5,9%
8/29/2024,39:53.5,12%
8/29/2024,39:52.6,5%
8/29/2024,39:51.7,14%
8/29/2024,39:50.8,14%
8/29/2024,39:49.9,6%
8/29/2024,39:49.0,9%
8/29/2024,39:48.1,7%
8/29/2024,39:47.2,13%
8/29/2024,39:46.2,12%
8/29/2024,39:45.3,14%
8/29/2024,39:44.4,14%
8/29/2024,39:43.5,6%
8/29/2024,39:42.6,7%
8/29/2024,39:41.7,5%
8/29/2024,39:40.8,9%
8/29/2024,39:39.9,10%
8/29/2024,39:39.0,13%
8/29/2024,39:38.0,5%
8/29/2024,39:37.1,8%
8/29/2024,39:36.3,10%
8/29/2024,39:35.3,9%
8/29/2024,39:34.4,9%
8/29/2024,39:33.5,13%
8/29/2024,39:32.6,12%
8/29/2024,39:31.7,6%
8/29/2024,39:30.8,14%
8/29/2024,39:29.9,6%
8/29/2024,39:29.0,7%
8/29/2024,39:28.0,8%
8/29/2024,39:27.1,10%
8/29/2024,39:26.2,6%
8/29/2024,39:25.3,9%
8/29/2024,39:24.4,5%
8/29/2024,39:23.5,8%
8/29/2024,39:22.6,6%
8/29/2024,39:21.6,15%
8/29/2024,39:20.7,13%
8/29/2024,39:19.8,14%
8/29/2024,39:18.9,11%
8/29/2024,39:18.2,11%
8/29/2024,39:17.1,12%
8/29/2024,39:16.2,8%
8/29/2024,39:15.3,13%
8/29/2024,39:14.4,8%
8/29/2024,39:13.4,7%
8/29/2024,39:12.5,12%
8/29/2024,39:11.6,12%
8/29/2024,39:10.9,10%
8/29/2024,39:09.8,6%
8/29/2024,39:08.9,8%
8/29/2024,39:08.0,11%
8/29/2024,39:07.1,11%
8/29/2024,39:06.1,8%
8/29/2024,39:05.2,15%
8/29/2024,39:04.3,11%
8/29/2024,39:03.4,11%
8/29/2024,39:02.5,11%
8/29/2024,39:01.6,13%
8/29/2024,39:00.7,14%
8/29/2024,38:59.8,12%
8/29/2024,38:58.9,8%
8/29/2024,38:57.9,11%
8/29/2024,38:57.0,9%
8/29/2024,38:56.1,7%
8/29/2024,38:55.2,15%
8/29/2024,38:54.3,8%
8/29/2024,38:53.4,9%
8/29/2024,38:52.5,9%
8/29/2024,38:51.6,14%
8/29/2024,38:50.6,7%
8/29/2024,38:49.7,10%
8/29/2024,38:48.8,10%
8/29/2024,38:47.9,5%
8/29/2024,38:47.0,12%
8/29/2024,38:46.1,7%
8/29/2024,38:45.2,14%
8/29/2024,38:44.3,6%
8/29/2024,38:43.4,13%
8/29/2024,38:42.5,13%
8/29/2024,38:41.5,6%
8/29/2024,38:40.6,13%
8/29/2024,38:39.7,12%
8/29/2024,38:39.0,7%
8/29/2024,38:37.9,14%
8/29/2024,38:37.0,7%
8/29/2024,38:36.1,12%
8/29/2024,38:35.2,15%
8/29/2024,38:34.3,8%
8/29/2024,38:33.3,11%
8/29/2024,38:32.4,11%
8/29/2024,38:31.5,10%
8/29/2024,38:30.6,9%
8/29/2024,38:29.7,9%
8/29/2024,38:28.8,8%
8/29/2024,38:27.9,8%
8/29/2024,38:27.0,13%
8/29/2024,38:26.0,15%
8/29/2024,38:25.1,8%
8/29/2024,38:24.2,10%
8/29/2024,38:23.3,8%
8/29/2024,38:22.4,9%
8/29/2024,38:21.5,5%
8/29/2024,38:20.6,12%
8/29/2024,38:19.7,7%
8/29/2024,38:18.8,8%
8/29/2024,38:17.8,6%
8/29/2024,38:16.9,14%
8/29/2024,38:16.0,11%
8/29/2024,38:15.1,6%
8/29/2024,38:14.2,10%
8/29/2024,38:13.3,12%
8/29/2024,38:12.4,8%
8/29/2024,38:11.6,7%
8/29/2024,38:10.6,14%
8/29/2024,38:09.6,14%
8/29/2024,38:08.7,7%
8/29/2024,38:07.8,7%
8/29/2024,38:06.9,6%
8/29/2024,38:06.0,10%
8/29/2024,38:05.1,13%
8/29/2024,38:04.2,11%
8/29/2024,38:03.3,7%
8/29/2024,38:02.4,8%
8/29/2024,38:01.4,6%
8/29/2024,38:00.5,6%
8/29/2024,37:59.8,10%
8/29/2024,37:58.7,5%
8/29/2024,37:57.8,9%
8/29/2024,37:56.9,15%
8/29/2024,37:56.0,13%
8/29/2024,37:55.1,12%
8/29/2024,37:54.1,7%
8/29/2024,37:53.2,15%
8/29/2024,37:52.3,6%
8/29/2024,37:51.4,8%
8/29/2024,37:50.5,7%
8/29/2024,37:49.6,14%
8/29/2024,37:48.7,6%
8/29/2024,37:47.8,14%
8/29/2024,37:46.9,9%
8/29/2024,37:46.0,14%
8/29/2024,37:45.0,15%
8/29/2024,37:44.1,7%
8/29/2024,37:43.2,13%
8/29/2024,37:42.3,5%
8/29/2024,37:41.4,5%
8/29/2024,37:40.5,14%
8/29/2024,37:39.6,8%
8/29/2024,37:38.6,14%
8/29/2024,37:37.7,10%
8/29/2024,37:36.8,9%
8/29/2024,37:35.9,9%
8/29/2024,37:35.0,14%
8/29/2024,37:34.1,10%
8/29/2024,37:33.2,8%
8/29/2024,37:32.3,15%
8/29/2024,37:31.4,15%
8/29/2024,37:30.5,12%
8/29/2024,37:29.6,15%
8/29/2024,37:28.6,15%
8/29/2024,37:27.7,8%
8/29/2024,37:26.8,10%
8/29/2024,37:25.9,7%
8/29/2024,37:25.0,14%
8/29/2024,37:24.1,15%
8/29/2024,37:23.2,5%
8/29/2024,37:22.2,14%
8/29/2024,37:21.4,9%
8/29/2024,37:20.4,13%
8/29/2024,37:19.5,5%
8/29/2024,37:18.6,7%
8/29/2024,37:17.7,14%
8/29/2024,37:16.8,6%
8/29/2024,37:15.9,5%
8/29/2024,37:15.0,12%
8/29/2024,37:14.0,8%
8/29/2024,37:13.1,11%
8/29/2024,37:12.2,9%
8/29/2024,37:11.3,7%
8/29/2024,37:10.4,12%
8/29/2024,37:09.5,12%
8/29/2024,37:08.6,13%
8/29/2024,37:07.7,9%
8/29/2024,37:06.8,7%
8/29/2024,37:05.8,8%
8/29/2024,37:05.0,5%
8/29/2024,37:04.0,14%
8/29/2024,37:03.1,7%
8/29/2024,37:02.2,15%
8/29/2024,37:01.3,9%
8/29/2024,37:00.4,9%
8/29/2024,36:59.5,13%
8/29/2024,36:58.6,11%
8/29/2024,36:57.6,6%
8/29/2024,36:56.7,8%
8/29/2024,36:55.8,14%
8/29/2024,36:54.9,8%
8/29/2024,36:54.0,15%
8/29/2024,36:53.3,13%
8/29/2024,36:52.2,8%
8/29/2024,36:51.3,12%
8/29/2024,36:50.4,9%
8/29/2024,36:49.4,11%
8/29/2024,36:48.5,12%
8/29/2024,36:47.6,7%
8/29/2024,36:46.7,5%
8/29/2024,36:45.8,9%
8/29/2024,36:44.9,9%
8/29/2024,36:44.0,6%
8/29/2024,36:43.1,13%
8/29/2024,36:42.2,14%
8/29/2024,36:41.2,10%
8/29/2024,36:40.5,9%
8/29/2024,36:39.4,11%
8/29/2024,36:38.5,9%
8/29/2024,36:37.6,12%
8/29/2024,36:36.7,10%
8/29/2024,36:35.8,13%
8/29/2024,36:34.9,10%
8/29/2024,36:33.9,7%
8/29/2024,36:33.0,5%
8/29/2024,36:32.1,14%
8/29/2024,36:31.2,8%
8/29/2024,36:30.3,8%
8/29/2024,36:29.4,15%
8/29/2024,36:28.5,7%
8/29/2024,36:27.6,10%
8/29/2024,36:26.7,13%
8/29/2024,36:25.7,15%
8/29/2024,36:24.8,15%
8/29/2024,36:23.9,10%
8/29/2024,36:23.0,12%
8/29/2024,36:22.1,6%
8/29/2024,36:21.2,10%
8/29/2024,36:20.3,15%
8/29/2024,36:19.4,13%
8/29/2024,36:18.5,9%
8/29/2024,36:17.6,7%
8/29/2024,36:16.6,8%
8/29/2024,36:15.7,11%
8/29/2024,36:14.8,10%
8/29/2024,36:13.9,9%
8/29/2024,36:13.0,14%
8/29/2024,36:12.1,8%
8/29/2024,36:11.1,11%
8/29/2024,36:10.3,12%
8/29/2024,36:09.3,9%
8/29/2024,36:08.4,13%
8/29/2024,36:07.5,11%
8/29/2024,36:06.6,15%
8/29/2024,36:05.7,13%
8/29/2024,36:04.8,11%
8/29/2024,36:03.9,15%
8/29/2024,36:03.0,9%
8/29/2024,36:02.1,14%
8/29/2024,36:01.1,9%
8/29/2024,36:00.2,12%
8/29/2024,35:59.3,12%
8/29/2024,35:58.4,7%
8/29/2024,35:57.5,14%
8/29/2024,35:56.6,6%
8/29/2024,35:55.7,7%
8/29/2024,35:54.8,13%
8/29/2024,35:53.8,10%
8/29/2024,35:52.9,10%
8/29/2024,35:52.0,13%
8/29/2024,35:51.1,10%
8/29/2024,35:50.2,10%
8/29/2024,35:49.3,12%
8/29/2024,35:48.4,9%
8/29/2024,35:47.5,11%
8/29/2024,35:46.5,10%
8/29/2024,35:45.7,7%
8/29/2024,35:44.7,5%
8/29/2024,35:43.8,12%
8/29/2024,35:42.9,14%
8/29/2024,35:42.0,11%
8/29/2024,35:41.1,14%
8/29/2024,35:40.2,8%
8/29/2024,35:39.3,9%
8/29/2024,35:38.4,15%
8/29/2024,35:37.4,8%
8/29/2024,35:36.7,10%
8/29/2024,35:35.6,8%
8/29/2024,35:34.7,10%
8/29/2024,35:33.8,14%
8/29/2024,35:32.9,10%
8/29/2024,35:32.0,13%
8/29/2024,35:31.1,14%
8/29/2024,35:30.2,10%
8/29/2024,35:29.2,10%
8/29/2024,35:28.3,13%
8/29/2024,35:27.4,15%
8/29/2024,35:26.5,14%
8/29/2024,35:25.6,14%
8/29/2024,35:24.7,10%
8/29/2024,35:23.8,14%
8/29/2024,35:22.9,7%
8/29/2024,35:21.9,7%
8/29/2024,35:21.0,5%
8/29/2024,35:20.1,7%
8/29/2024,35:19.2,11%
8/29/2024,35:18.3,5%
8/29/2024,35:17.4,12%
8/29/2024,35:16.5,6%
8/29/2024,35:15.6,13%
8/29/2024,35:14.7,14%
8/29/2024,35:13.7,13%
8/29/2024,35:12.8,12%
8/29/2024,35:11.9,13%
8/29/2024,35:11.0,15%
8/29/2024,35:10.1,12%
8/29/2024,35:09.2,7%
8/29/2024,35:08.3,8%
8/29/2024,35:07.4,12%
8/29/2024,35:06.5,13%
8/29/2024,35:05.5,12%
8/29/2024,35:04.6,8%
8/29/2024,35:03.7,8%
8/29/2024,35:02.8,7%
8/29/2024,35:01.9,9%
8/29/2024,35:01.0,10%
8/29/2024,35:00.1,9%
8/29/2024,34:59.2,15%
8/29/2024,34:58.2,6%
8/29/2024,34:57.3,14%
8/29/2024,34:56.4,6%
8/29/2024,34:55.7,11%
8/29/2024,34:54.6,11%
8/29/2024,34:53.7,12%
8/29/2024,34:52.8,12%
8/29/2024,34:51.9,6%
8/29/2024,34:51.0,5%
8/29/2024,34:50.0,10%
8/29/2024,34:49.1,11%
8/29/2024,34:48.2,14%
8/29/2024,34:47.3,13%
8/29/2024,34:46.4,11%
8/29/2024,34:45.5,9%
8/29/2024,34:44.6,15%
8/29/2024,34:43.7,11%
8/29/2024,34:42.7,14%
8/29/2024,34:41.9,14%
8/29/2024,34:40.9,12%
8/29/2024,34:40.0,15%
8/29/2024,34:39.1,15%
8/29/2024,34:38.2,15%
8/29/2024,34:37.3,11%
8/29/2024,34:36.4,8%
8/29/2024,34:35.5,13%
8/29/2024,34:34.5,9%
8/29/2024,34:33.6,10%
8/29/2024,34:32.7,11%
8/29/2024,34:31.8,15%
8/29/2024,34:30.9,14%
8/29/2024,34:30.0,9%
8/29/2024,34:29.1,8%
8/29/2024,34:28.2,11%
8/29/2024,34:27.2,14%
8/29/2024,34:26.3,15%
8/29/2024,34:25.4,9%
8/29/2024,34:24.5,5%
8/29/2024,34:23.8,13%
8/29/2024,34:22.7,10%
8/29/2024,34:21.8,7%
8/29/2024,34:20.9,15%
8/29/2024,34:20.0,13%
8/29/2024,34:19.1,10%
8/29/2024,34:18.1,15%
8/29/2024,34:17.2,8%
8/29/2024,34:16.3,5%
8/29/2024,34:15.4,13%
8/29/2024,34:14.5,11%
8/29/2024,34:13.6,7%
8/29/2024,34:12.7,6%
8/29/2024,34:11.8,15%
8/29/2024,34:10.8,13%
8/29/2024,34:09.9,8%
8/29/2024,34:09.0,8%
8/29/2024,34:08.2,9%
8/29/2024,34:07.2,10%
8/29/2024,34:06.3,5%
8/29/2024,34:05.4,12%
8/29/2024,34:04.5,5%
8/29/2024,34:03.6,8%
8/29/2024,34:02.6,7%
8/29/2024,34:01.7,6%
8/29/2024,34:00.8,10%
8/29/2024,33:59.9,11%
8/29/2024,33:59.0,14%
8/29/2024,33:58.1,5%
8/29/2024,33:57.2,8%
8/29/2024,33:56.3,9%
8/29/2024,33:55.4,11%
8/29/2024,33:54.4,15%
8/29/2024,33:53.5,6%
8/29/2024,33:52.6,12%
8/29/2024,33:51.7,11%
8/29/2024,33:50.8,7%
8/29/2024,33:49.9,8%
8/29/2024,33:49.0,9%
8/29/2024,33:48.1,10%
8/29/2024,33:47.2,15%
8/29/2024,33:46.3,14%
8/29/2024,33:45.3,7%
8/29/2024,33:44.4,6%
8/29/2024,33:43.5,14%
8/29/2024,33:42.6,10%
8/29/2024,33:41.7,12%
8/29/2024,33:40.8,10%
8/29/2024,33:39.9,11%
8/29/2024,33:38.9,11%
8/29/2024,33:38.0,10%
8/29/2024,33:37.1,8%
8/29/2024,33:36.2,6%
8/29/2024,33:35.3,13%
8/29/2024,33:34.4,14%
8/29/2024,33:33.5,13%
8/29/2024,33:32.6,7%
8/29/2024,33:31.7,6%
8/29/2024,33:30.7,11%
8/29/2024,33:29.8,15%
8/29/2024,33:28.9,13%
8/29/2024,33:28.0,15%
8/29/2024,33:27.1,13%
8/29/2024,33:26.2,15%
8/29/2024,33:25.3,11%
8/29/2024,33:24.4,10%
8/29/2024,33:23.5,7%
8/29/2024,33:22.6,10%
8/29/2024,33:21.6,13%
8/29/2024,33:20.7,15%
8/29/2024,33:19.8,7%
8/29/2024,33:18.9,6%
8/29/2024,33:18.0,7%
8/29/2024,33:17.1,12%
8/29/2024,33:16.2,5%
8/29/2024,33:15.3,7%
8/29/2024,33:14.3,6%
8/29/2024,33:13.4,14%
8/29/2024,33:12.5,9%
8/29/2024,33:11.6,13%
8/29/2024,33:10.9,6%
8/29/2024,33:09.8,15%
8/29/2024,33:08.9,9%
8/29/2024,33:08.0,6%
8/29/2024,33:07.0,12%
8/29/2024,33:06.2,11%
8/29/2024,33:05.2,15%
8/29/2024,33:04.3,15%
8/29/2024,33:03.4,6%
8/29/2024,33:02.5,14%
8/29/2024,33:01.6,5%
8/29/2024,33:00.7,11%
8/29/2024,32:59.8,13%
8/29/2024,32:58.8,5%
8/29/2024,32:57.9,5%
8/29/2024,32:57.2,12%
8/29/2024,32:56.1,11%
8/29/2024,32:55.2,15%
8/29/2024,32:54.3,15%
8/29/2024,32:53.4,8%
8/29/2024,32:52.5,15%
8/29/2024,32:51.6,8%
8/29/2024,32:50.7,15%
8/29/2024,32:49.7,13%
8/29/2024,32:48.8,13%
8/29/2024,32:47.9,5%
8/29/2024,32:47.0,6%
8/29/2024,32:46.1,13%
8/29/2024,32:45.2,14%
8/29/2024,32:44.3,10%
8/29/2024,32:43.4,11%
8/29/2024,32:42.4,11%
8/29/2024,32:41.5,15%
8/29/2024,32:40.6,11%
8/29/2024,32:39.7,15%
8/29/2024,32:38.8,8%
8/29/2024,32:37.9,7%
8/29/2024,32:37.0,6%
8/29/2024,32:36.1,6%
8/29/2024,32:35.2,13%
8/29/2024,32:34.4,7%
8/29/2024,32:33.3,5%
8/29/2024,32:32.4,15%
8/29/2024,32:31.5,6%
8/29/2024,32:30.6,5%
8/29/2024,32:29.7,6%
8/29/2024,32:28.8,13%
8/29/2024,32:27.9,13%
8/29/2024,32:26.9,11%
8/29/2024,32:26.0,8%
8/29/2024,32:25.1,14%
8/29/2024,32:24.2,14%
8/29/2024,32:23.3,7%
8/29/2024,32:22.4,12%
8/29/2024,32:21.5,10%
8/29/2024,32:20.6,14%
8/29/2024,32:19.7,14%
8/29/2024,32:18.7,8%
8/29/2024,32:17.9,13%
8/29/2024,32:16.9,15%
8/29/2024,32:16.0,5%
8/29/2024,32:15.1,5%
8/29/2024,32:14.2,8%
8/29/2024,32:13.3,13%
8/29/2024,32:12.4,8%
8/29/2024,32:11.5,12%
8/29/2024,32:10.5,7%
8/29/2024,32:09.6,8%
8/29/2024,32:08.7,11%
8/29/2024,32:07.8,5%
8/29/2024,32:06.9,13%
8/29/2024,32:06.0,5%
8/29/2024,32:05.1,12%
8/29/2024,32:04.2,14%
8/29/2024,32:03.3,15%
8/29/2024,32:02.4,9%
8/29/2024,32:01.5,8%
8/29/2024,32:00.5,12%
8/29/2024,31:59.6,12%
8/29/2024,31:58.7,11%
8/29/2024,31:57.8,10%
8/29/2024,31:56.9,7%
8/29/2024,31:56.0,12%
8/29/2024,31:55.0,15%
8/29/2024,31:54.1,14%
8/29/2024,31:53.4,11%
8/29/2024,31:52.3,9%
8/29/2024,31:51.4,14%
8/29/2024,31:50.5,9%
8/29/2024,31:49.6,10%
8/29/2024,31:48.7,6%
8/29/2024,31:47.8,5%
8/29/2024,31:46.8,6%
8/29/2024,31:45.9,5%
8/29/2024,31:45.0,9%
8/29/2024,31:44.1,6%
8/29/2024,31:43.2,6%
8/29/2024,31:42.3,8%
8/29/2024,31:41.4,7%
8/29/2024,31:40.5,13%
8/29/2024,31:39.6,8%
8/29/2024,31:38.7,11%
8/29/2024,31:37.8,8%
8/29/2024,31:36.8,7%
8/29/2024,31:35.9,13%
8/29/2024,31:35.0,14%
8/29/2024,31:34.1,14%
8/29/2024,31:33.2,6%
8/29/2024,31:32.3,15%
8/29/2024,31:31.4,8%
8/29/2024,31:30.4,10%
8/29/2024,31:29.5,6%
8/29/2024,31:28.6,8%
8/29/2024,31:27.7,10%
8/29/2024,31:26.8,14%
8/29/2024,31:25.9,9%
8/29/2024,31:25.0,15%
8/29/2024,31:24.1,13%
8/29/2024,31:23.2,12%
8/29/2024,31:22.2,11%
8/29/2024,31:21.3,11%
8/29/2024,31:20.4,5%
8/29/2024,31:19.5,6%
8/29/2024,31:18.6,13%
8/29/2024,31:17.7,10%
8/29/2024,31:16.8,13%
8/29/2024,31:15.9,11%
8/29/2024,31:14.9,7%
8/29/2024,31:14.0,8%
8/29/2024,31:13.1,7%
8/29/2024,31:12.2,6%
8/29/2024,31:11.3,12%
8/29/2024,31:10.4,13%
8/29/2024,31:09.5,13%
8/29/2024,31:08.6,13%
8/29/2024,31:07.7,15%
8/29/2024,31:06.7,6%
8/29/2024,31:05.8,15%
8/29/2024,31:05.0,12%
8/29/2024,31:04.0,12%
8/29/2024,31:03.1,15%
8/29/2024,31:02.2,13%
8/29/2024,31:01.3,11%
8/29/2024,31:00.4,10%
8/29/2024,30:59.5,14%
8/29/2024,30:58.6,11%
8/29/2024,30:57.6,15%
8/29/2024,30:56.7,15%
8/29/2024,30:55.8,10%
8/29/2024,30:54.9,6%
8/29/2024,30:54.0,9%
8/29/2024,30:53.1,5%
8/29/2024,30:52.2,6%
8/29/2024,30:51.3,8%
8/29/2024,30:50.4,13%
8/29/2024,30:49.4,9%
8/29/2024,30:48.5,5%
8/29/2024,30:47.6,5%
8/29/2024,30:46.7,10%
8/29/2024,30:45.8,12%
8/29/2024,30:44.9,8%
8/29/2024,30:44.0,8%
8/29/2024,30:43.0,7%
8/29/2024,30:42.1,10%
8/29/2024,30:41.2,5%
8/29/2024,30:40.3,11%
8/29/2024,30:39.4,14%
8/29/2024,30:38.5,10%
8/29/2024,30:37.6,13%
8/29/2024,30:36.7,8%
8/29/2024,30:35.8,11%
8/29/2024,30:34.9,12%
8/29/2024,30:33.9,11%
8/29/2024,30:33.1,11%
8/29/2024,30:32.1,15%
8/29/2024,30:31.2,7%
8/29/2024,30:30.3,10%
8/29/2024,30:29.4,11%
8/29/2024,30:28.5,6%
8/29/2024,30:27.6,13%
8/29/2024,30:26.6,8%
8/29/2024,30:25.8,11%
8/29/2024,30:24.8,15%
8/29/2024,30:23.9,8%
8/29/2024,30:23.0,5%
8/29/2024,30:22.1,15%
8/29/2024,30:21.2,15%
8/29/2024,30:20.3,9%
8/29/2024,30:19.3,5%
8/29/2024,30:18.4,6%
8/29/2024,30:17.7,14%
8/29/2024,30:16.6,15%
8/29/2024,30:15.7,9%
8/29/2024,30:14.8,6%
8/29/2024,30:13.9,15%
8/29/2024,30:13.0,15%
8/29/2024,30:12.1,7%
8/29/2024,30:11.1,15%
8/29/2024,30:10.3,6%
8/29/2024,30:09.4,8%
8/29/2024,30:08.4,8%
8/29/2024,30:07.5,11%
8/29/2024,30:06.6,8%
8/29/2024,30:05.7,6%
8/29/2024,30:04.8,7%
8/29/2024,30:03.9,5%
8/29/2024,30:02.9,13%
8/29/2024,30:02.0,15%
8/29/2024,30:01.1,12%
8/29/2024,30:00.2,11%
8/29/2024,29:59.3,9%
8/29/2024,29:58.4,13%
8/29/2024,29:57.5,12%
8/29/2024,29:56.6,11%
8/29/2024,29:55.7,12%
8/29/2024,29:54.7,7%
8/29/2024,29:53.8,8%
8/29/2024,29:52.9,10%
8/29/2024,29:52.0,8%
8/29/2024,29:51.1,10%
8/29/2024,29:50.2,7%
8/29/2024,29:49.3,6%
8/29/2024,29:48.4,14%
8/29/2024,29:47.5,8%
8/29/2024,29:46.5,14%
8/29/2024,29:45.6,13%
8/29/2024,29:44.7,7%
8/29/2024,29:43.8,10%
8/29/2024,29:42.9,12%
8/29/2024,29:42.0,10%
8/29/2024,29:41.1,6%
8/29/2024,29:40.2,9%
8/29/2024,29:39.3,10%
8/29/2024,29:38.4,10%
8/29/2024,29:37.4,14%
8/29/2024,29:36.7,13%
8/29/2024,29:35.6,11%
8/29/2024,29:34.7,7%
8/29/2024,29:33.8,14%
